Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positive_Examples,Body_size,PCA_Body_size,Functional_variable
?a  hasStage  IIIA  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.011336311,0.317307692,0.317307692,33,104,104,?a
?a  hasStage  IIIA  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.017863277,0.571428571,0.571428571,52,91,91,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.010305737,0.340909091,0.340909091,30,88,88,?a
?a  patientDrug  Vinorelbine  ?a  treatmentType  Neoadjuvant_Chemotherapy   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.013740982,0.384615385,0.384615385,40,104,104,?a
?a  hasAgeCategory  Old  ?a  hasStage  IIIA   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.01580213,0.252747253,0.254143646,46,182,181,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.019924425,0.617021277,0.617021277,58,94,94,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.013397458,0.239263804,0.240740741,39,163,162,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.017519753,0.25,0.251231527,51,204,203,?a
?a  hasStage  IIIA  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.015458605,0.340909091,0.340909091,45,132,132,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.021642047,0.268085106,0.269230769,63,235,234,?a
?a  patientDrug  Paclitaxel  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.025764342,0.614754098,0.614754098,75,122,122,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.010305737,0.163043478,0.167597765,30,184,179,?a
?a  hasStage  IIIA  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.012710409,0.305785124,0.305785124,37,121,121,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.01202336,0.171568627,0.175879397,35,204,199,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.018206802,0.294444444,0.296089385,53,180,179,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.022672621,0.308411215,0.308411215,66,214,214,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.03160426,0.429906542,0.429906542,92,214,214,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.010305737,0.280373832,0.283018868,30,107,106,?a
?a  hasRelapse_Progression  Progression  ?a  hasStage  IIIA   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.014428032,0.304347826,0.304347826,42,138,138,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.010305737,0.126582278,0.136363636,30,237,220,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.012710409,0.296,0.298387097,37,125,124,?a
?a  hasAgeCategory  Old  ?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.013397458,0.136363636,0.144444444,39,286,270,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.023016146,0.161445783,0.161835749,67,415,414,?a
?a  hasAgeCategory  Young  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.011336311,0.157142857,0.157142857,33,210,210,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.014771556,0.413461538,0.413461538,43,104,104,?a
?a  hasAgeCategory  Old  ?a  hasBiomarker  ALK_Negative   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.012366884,0.140625,0.15,36,256,240,?a
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.015458605,0.135135135,0.143312102,45,333,314,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.015115081,0.154385965,0.157706093,44,285,279,?a
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.020611474,0.24,0.24,60,250,250,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.012366884,0.428571429,0.428571429,36,84,84,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Immunotherapy,0.011336311,0.251908397,0.251908397,33,131,131,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Immunotherapy,0.013740982,0.305343511,0.330578512,40,131,121,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.014428032,0.333333333,0.336,42,126,125,?a
?a  hasBiomarker  ALK_Negative  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Concurrent_Chemoradiotherapy,0.012710409,0.154166667,0.158119658,37,240,234,?a
?a  hasSmokingHabit  FormerSmoker  ?a  hasStage  IV   ,?a  treatmentType  Immunotherapy,0.010992786,0.235294118,0.248062016,32,136,129,?a
?a  hasRelapse_Progression  Progression  ?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Immunotherapy,0.025420818,0.221556886,0.225609756,74,334,328,?a
?a  hasBiomarker  ALK_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Immunotherapy,0.018893851,0.291005291,0.30726257,55,189,179,?a
?a  hasGender  Female  ?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Immunotherapy,0.010305737,0.212765957,0.222222222,30,141,135,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Immunotherapy,0.010649261,0.224637681,0.224637681,31,138,138,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Immunotherapy,0.01202336,0.212121212,0.212121212,35,165,165,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.018206802,0.263681592,0.263681592,53,201,201,?a
?a  hasAgeCategory  Young  ?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Immunotherapy,0.010992786,0.235294118,0.237037037,32,136,135,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.016145654,0.886792453,0.886792453,47,53,53,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Immunotherapy,0.021985572,0.292237443,0.306220096,64,219,209,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.011336311,0.362637363,0.375,33,91,88,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Immunotherapy,0.011336311,0.289473684,0.289473684,33,114,114,?a
?a  hasGender  Female  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.010305737,0.882352941,0.882352941,30,34,34,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasSmokingHabit  FormerSmoker   ,?a  treatmentType  Immunotherapy,0.011336311,0.471428571,0.515625,33,70,64,?a
?a  hasAgeCategory  Young  ?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Immunotherapy,0.012366884,0.214285714,0.21686747,36,168,166,?a
?a  hasSmokingHabit  CurrentSmoker  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.018550326,0.203007519,0.206896552,54,266,261,?a
?a  hasBiomarker  ALK_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Immunotherapy,0.01580213,0.326241135,0.343283582,46,141,134,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Immunotherapy,0.010649261,0.574074074,0.62,31,54,50,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Immunotherapy,0.016489179,0.307692308,0.322147651,48,156,149,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  treatmentType  Immunotherapy,0.010305737,0.297029703,0.297029703,30,101,101,?a
?a  hasRelapse_Progression  Progression  ?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Immunotherapy,0.022329097,0.247148289,0.250965251,65,263,259,?a
?a  hasGender  Female  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.012366884,0.257142857,0.257142857,36,140,140,?a
?a  hasBiomarker  ALK_Negative  ?a  hasGender  Female   ,?a  treatmentType  Immunotherapy,0.01202336,0.304347826,0.330188679,35,115,106,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasGender  Female   ,?a  treatmentType  Immunotherapy,0.014084507,0.312977099,0.336065574,41,131,122,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasSmokingHabit  CurrentSmoker   ,?a  treatmentType  Immunotherapy,0.01202336,0.35,0.368421053,35,100,95,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  treatmentType  Immunotherapy,0.011336311,0.279661017,0.279661017,33,118,118,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Concurrent_Chemoradiotherapy   ,?a  treatmentType  Immunotherapy,0.010305737,0.337078652,0.337078652,30,89,89,?a
?a  hasGender  Female  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.012710409,0.202185792,0.206703911,37,183,179,?a
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  treatmentType  Immunotherapy,0.010992786,0.351648352,0.351648352,32,91,91,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Immunotherapy,0.014428032,0.238636364,0.238636364,42,176,176,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Radiotherapy_To_Bone   ,?a  treatmentType  Immunotherapy,0.013053933,0.316666667,0.316666667,38,120,120,?a
?a  patientDrug  Carboplatin  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Immunotherapy,0.017863277,0.204724409,0.204724409,52,254,254,?a
?a  hasAgeCategory  Young  ?a  hasGender  Male   ,?a  treatmentType  Immunotherapy,0.015115081,0.22,0.221105528,44,200,199,?a
?a  hasGender  Male  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Immunotherapy,0.014771556,0.222797927,0.223958333,43,193,192,?a
?a  patientDrug  Nivolumab  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Immunotherapy,0.013740982,0.909090909,0.909090909,40,44,44,?a
?a  patientDrug  Docetaxel  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.012710409,0.402173913,0.402173913,37,92,92,?a
?a  patientDrug  Nivolumab  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.028512539,0.954022989,0.954022989,83,87,87,?a
?a  patientDrug  Vinorelbine  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.015115081,0.297297297,0.297297297,44,148,148,?a
?a  hasStage  IV  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.013740982,0.930232558,0.930232558,40,43,43,?a
?a  hasGender  Male  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Immunotherapy,0.034008932,0.212446352,0.216157205,99,466,458,?a
?a  treatmentType  Intravenous_Chemotherapy  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Immunotherapy,0.015458605,0.247252747,0.247252747,45,182,182,?a
?a  patientDrug  Vinorelbine  ?a  treatmentType  Radiotherapy_To_Lung   ,?a  treatmentType  Immunotherapy,0.014084507,0.24260355,0.24260355,41,169,169,?a
?a  hasBiomarker  ROS1_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.01580213,0.37704918,0.37704918,46,122,122,?a
?a  hasStage  IV  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.01202336,0.333333333,0.333333333,35,105,105,?a
?a  hasBiomarker  ALK_Negative  ?a  hasStage  IV   ,?a  treatmentType  Immunotherapy,0.01202336,0.357142857,0.380434783,35,98,92,?a
?a  hasAgeCategory  Young  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.014428032,0.270967742,0.270967742,42,155,155,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasStage  IV   ,?a  treatmentType  Immunotherapy,0.013740982,0.307692308,0.322580645,40,130,124,?a
?a  patientDrug  Cisplatin  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.015458605,0.323741007,0.323741007,45,139,139,?a
?a  hasBiomarker  PDL1_Positive  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.011679835,0.557377049,0.557377049,34,61,61,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Pembrolizumab   ,?a  treatmentType  Immunotherapy,0.010649261,0.632653061,0.688888889,31,49,45,?a
?a  patientDrug  Paclitaxel  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.01580213,0.272189349,0.272189349,46,169,169,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.013397458,0.906976744,0.906976744,39,43,43,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.013397458,0.906976744,0.906976744,39,43,43,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Immunotherapy,0.010305737,0.25210084,0.25210084,30,119,119,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.037100653,0.262773723,0.262773723,108,411,411,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.011336311,0.340206186,0.35106383,33,97,94,?a
?a  hasAgeCategory  Young  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.013740982,0.231213873,0.235294118,40,173,170,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.0195809,0.919354839,0.919354839,57,62,62,?a
?a  hasBiomarker  ALK_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.022329097,0.342105263,0.342105263,65,190,190,?a
?a  hasAgeCategory  Young  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Immunotherapy,0.018550326,0.257142857,0.257142857,54,210,210,?a
?a  hasBiomarker  EGFR_Negative  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Immunotherapy,0.025077293,0.325892857,0.325892857,73,224,224,?a
?a  hasAgeCategory  Young  ?a  hasBiomarker  ALK_Negative   ,?a  treatmentType  Immunotherapy,0.01202336,0.301724138,0.309734513,35,116,113,?a
?a  hasAgeCategory  Young  ?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Immunotherapy,0.014771556,0.311594203,0.318518519,43,138,135,?a
?a  hasAgeCategory  Young  ?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Immunotherapy,0.010649261,0.352272727,0.364705882,31,88,85,?a
?a  patientDrug  Nivolumab  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Immunotherapy,0.013053933,0.926829268,0.926829268,38,41,41,?a
?a  patientDrug  Nivolumab  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.017519753,0.910714286,0.910714286,51,56,56,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.01202336,0.897435897,0.897435897,35,39,39,?a
?a  patientDrug  Cisplatin  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.01202336,0.336538462,0.336538462,35,104,104,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Immunotherapy,0.018550326,0.264705882,0.266009852,54,204,203,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.032978358,0.941176471,0.941176471,96,102,102,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Immunotherapy,0.011336311,0.294642857,0.294642857,33,112,112,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Nivolumab   ,?a  treatmentType  Immunotherapy,0.021298523,0.925373134,0.925373134,62,67,67,?a
?a  patientDrug  Paclitaxel  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Immunotherapy,0.010992786,0.262295082,0.262295082,32,122,122,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Immunotherapy,0.015458605,0.25,0.251396648,45,180,179,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Immunotherapy,0.013397458,0.314516129,0.314516129,39,124,124,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.023703195,0.323943662,0.323943662,69,213,213,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.020611474,0.327868852,0.335195531,60,183,179,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.018550326,0.339622642,0.348387097,54,159,155,?a
?a  hasBiomarker  EGFR_Negative  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.021985572,0.31372549,0.32160804,64,204,199,?a
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  PDL1_Positive   ,?a  treatmentType  Immunotherapy,0.016832704,0.485148515,0.52688172,49,101,93,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Immunotherapy,0.013397458,0.397959184,0.414893617,39,98,94,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Immunotherapy,0.018550326,0.252336449,0.252336449,54,214,214,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Immunotherapy,0.0195809,0.238493724,0.238493724,57,239,239,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Immunotherapy,0.018893851,0.257009346,0.257009346,55,214,214,?a
?a  hasBiomarker  ALK_Negative  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Immunotherapy,0.025764342,0.3125,0.320512821,75,240,234,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.032291309,0.226506024,0.22705314,94,415,414,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Immunotherapy,0.018893851,0.341614907,0.352564103,55,161,156,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Immunotherapy,0.029199588,0.298245614,0.304659498,85,285,279,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Paclitaxel   ,?a  treatmentType  Immunotherapy,0.011336311,0.317307692,0.317307692,33,104,104,?a
?a  hasBiomarker  ALK_Negative  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.020267949,0.320652174,0.329608939,59,184,179,?a
?a  hasBiomarker  ROS1_Negative  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.015458605,0.357142857,0.371900826,45,126,121,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasBiomarker  PDL1_Positive   ,?a  treatmentType  Immunotherapy,0.018206802,0.504761905,0.546391753,53,105,97,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Immunotherapy,0.014428032,0.5,0.525,42,84,80,?a
?a  hasAgeCategory  Young  ?a  hasGender  Female   ,?a  treatmentType  Molecular_Targeted_Therapy,0.010992786,0.222222222,0.225352113,32,144,142,?a
?a  hasGender  Female  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Molecular_Targeted_Therapy,0.020611474,0.281690141,0.285714286,60,213,210,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Immunotherapy,0.025420818,0.312236287,0.336363636,74,237,220,?a
?a  hasBiomarker  ALK_Negative  ?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Immunotherapy,0.034352456,0.3003003,0.318471338,100,333,314,?a
?a  hasRelapse_Progression  Progression  ?a  hasSmokingHabit  NonSmoker   ,?a  treatmentType  Molecular_Targeted_Therapy,0.017519753,0.6375,0.64556962,51,80,79,?a
?a  hasBiomarker  PDL1_Positive  ?a  patientDrug  Carboplatin   ,?a  treatmentType  Immunotherapy,0.011679835,0.492753623,0.515151515,34,69,66,?a
?a  hasAgeCategory  Young  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Molecular_Targeted_Therapy,0.010649261,0.2,0.2,31,155,155,?a
?a  hasBiomarker  PDL1_Positive  ?a  hasBiomarker  ROS1_Negative   ,?a  treatmentType  Immunotherapy,0.016489179,0.466019417,0.505263158,48,103,95,?a
?a  hasRelapse_Progression  Progression  ?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  treatmentType  Molecular_Targeted_Therapy,0.011336311,0.16751269,0.16751269,33,197,197,?a
?a  hasGender  Female  ?a  hasStage  IV   ,?a  treatmentType  Molecular_Targeted_Therapy,0.011336311,0.366666667,0.388235294,33,90,85,?a
?a  patientDrug  Pemetrexed  ?a  treatmentType  Intravenous_Chemotherapy   ,?a  treatmentType  Molecular_Targeted_Therapy,0.016832704,0.231132075,0.231132075,49,212,212,?a
?a  hasStage  IV  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Molecular_Targeted_Therapy,0.011679835,0.323809524,0.323809524,34,105,105,?a
?a  hasAgeCategory  Old  ?a  patientDrug  Erlotinib   ,?a  treatmentType  Molecular_Targeted_Therapy,0.01202336,0.945945946,0.972222222,35,37,36,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Erlotinib   ,?a  treatmentType  Molecular_Targeted_Therapy,0.011336311,0.942857143,0.970588235,33,35,34,?a
?a  hasBiomarker  EGFR_Positive  ?a  patientDrug  Afatinib   ,?a  treatmentType  Molecular_Targeted_Therapy,0.011336311,1,1,33,33,33,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Cisplatin   ,?a  treatmentType  Molecular_Targeted_Therapy,0.014771556,0.210784314,0.21182266,43,204,203,?a
?a  patientDrug  Carboplatin  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Molecular_Targeted_Therapy,0.013397458,0.226744186,0.232142857,39,172,168,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasStage  IV   ,?a  treatmentType  Molecular_Targeted_Therapy,0.010649261,0.96875,0.96875,31,32,32,?a
?a  hasRelapse_Progression  Progression  ?a  hasStage  IV   ,?a  treatmentType  Molecular_Targeted_Therapy,0.016832704,0.23902439,0.240196078,49,205,204,?a
?a  hasAgeCategory  Young  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Molecular_Targeted_Therapy,0.018206802,0.252380952,0.252380952,53,210,210,?a
?a  hasAgeCategory  Young  ?a  hasBiomarker  EGFR_Negative   ,?a  treatmentType  Molecular_Targeted_Therapy,0.010649261,0.224637681,0.22962963,31,138,135,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Vinorelbine   ,?a  treatmentType  Molecular_Targeted_Therapy,0.012366884,0.168224299,0.168224299,36,214,214,?a
?a  hasBiomarker  ROS1_Negative  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Molecular_Targeted_Therapy,0.010649261,0.192546584,0.198717949,31,161,156,?a
?a  hasRelapse_Progression  Progression  ?a  patientDrug  Pemetrexed   ,?a  treatmentType  Molecular_Targeted_Therapy,0.017863277,0.244131455,0.244131455,52,213,213,?a
?a  hasGender  Male  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  ALK_Negative,0.095652174,0.325581395,0.719626168,154,473,214,?a
?a  hasBiomarker  PDL1_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  ALK_Negative,0.026086957,0.75,0.75,42,56,56,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Molecular_Targeted_Therapy,0.017176228,0.175438596,0.17921147,50,285,279,?a
?a  hasBiomarker  EGFR_Positive  ?a  hasRelapse_Progression  Progression   ,?a  treatmentType  Molecular_Targeted_Therapy,0.018893851,0.948275862,0.948275862,55,58,58,?a
?a  hasBiomarker  EGFR_Negative  ?a  hasSmokingHabit  FormerSmoker   ,?a  hasBiomarker  ALK_Negative,0.108074534,0.794520548,0.794520548,174,219,219,?a
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Chemotherapy_Adjuvant   ,?a  hasBiomarker  ALK_Negative,0.01552795,0.277777778,0.694444444,25,90,36,?a
?a  hasSmokingHabit  FormerSmoker  ?a  hasStage  IVB   ,?a  hasBiomarker  ALK_Negative,0.017391304,0.549019608,0.8,28,51,35,?a
?a  hasSmokingHabit  FormerSmoker  ?a  treatmentType  Thoracoscopy   ,?a  hasBiomarker  ALK_Negative,0.023602484,0.197916667,0.730769231,38,192,52,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Pemetrexed   ,?a  hasBiomarker  ALK_Negative,0.051552795,0.658730159,0.768518519,83,126,108,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Docetaxel   ,?a  hasBiomarker  ALK_Negative,0.025465839,0.706896552,0.788461538,41,58,52,?a
?a  hasSmokingHabit  FormerSmoker  ?a  hasStage  IV   ,?a  hasBiomarker  ALK_Negative,0.038509317,0.455882353,0.704545455,62,136,88,?a
?a  hasSmokingHabit  FormerSmoker  ?a  patientDrug  Pembrolizumab   ,?a  hasBiomarker  ALK_Negative,0.01242236,0.666666667,0.869565217,20,30,23,?a
